Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-111.32,49.05,ADEN,3040049,2000-01-01,2000,1,1,,-1.5,,-5.5,,-3.5,,21.5,,0.0,,0.0,,2.0,E,2.0,E,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-02,2000,1,2,,-15.0,,-15.0,,-15.0,,33.0,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-03,2000,1,3,,-8.5,E,-26.0,E,-17.3,E,35.3,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-04,2000,1,4,,6.0,,-22.5,E,-8.3,E,26.3,E,0.0,E,0.0,,1.5,,1.5,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-05,2000,1,5,,1.0,E,-12.5,E,-5.8,E,23.8,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-06,2000,1,6,,5.0,E,-16.0,E,-5.5,E,23.5,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-07,2000,1,7,,4.0,E,-8.0,E,-2.0,E,20.0,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-08,2000,1,8,,6.0,E,-7.0,E,-0.5,E,18.5,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-09,2000,1,9,,0.0,E,-6.0,E,-3.0,E,21.0,E,0.0,E,0.0,,9.0,,9.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-10,2000,1,10,,-4.0,,-8.5,,-6.3,,24.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-11,2000,1,11,,-5.0,,-13.5,,-9.3,,27.3,,0.0,,0.0,,2.0,,2.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-12,2000,1,12,,-7.0,,-17.0,,-12.0,,30.0,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-13,2000,1,13,,-13.5,,-21.0,,-17.3,,35.3,,0.0,,0.0,,2.5,,2.5,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-14,2000,1,14,,-13.5,,-21.0,,-17.3,,35.3,,0.0,,0.0,,0.0,T,0.0,T,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-15,2000,1,15,,-6.0,E,-22.5,,-14.3,E,32.3,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-16,2000,1,16,,4.0,,-22.5,,-9.3,,27.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-17,2000,1,17,,3.0,,-6.0,,-1.5,,19.5,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-18,2000,1,18,,3.5,,-21.0,,-8.8,,26.8,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-19,2000,1,19,,-8.5,,-20.0,,-14.3,,32.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-20,2000,1,20,,2.0,,-15.5,,-6.8,,24.8,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-21,2000,1,21,,0.0,,-12.0,,-6.0,,24.0,,0.0,,0.0,,1.0,E,1.0,E,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-22,2000,1,22,,-2.5,E,-15.0,,-8.8,E,26.8,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-23,2000,1,23,,-3.0,,-17.0,E,-10.0,E,28.0,E,0.0,E,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-24,2000,1,24,,-4.5,,-15.0,,-9.8,,27.8,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-25,2000,1,25,,2.5,,-13.0,,-5.3,,23.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-26,2000,1,26,,3.5,,-6.0,,-1.3,,19.3,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-27,2000,1,27,,-1.0,,-4.5,,-2.8,,20.8,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-28,2000,1,28,,3.5,,-9.5,,-3.0,,21.0,,0.0,,0.0,,0.0,,0.0,,,,,,,
-111.32,49.05,ADEN,3040049,2000-01-29,2000,1,29,,2.0,,-7.5,,-2.8,,20.8,,0.0,,0.0,,0.0,,0.0,,,,,,,
